id,category,subcategory,name,address,borough,zip,license_id,license_status,lat,lon,source,source_url
sla:0100-21-115122,liquor,Liquor Store,Arco Industries Inc,"8 05 43RD AVENUE, LONG ISLAND CITY, NY, 11101",Queens,11101,0100-21-115122,Active,40.75294,-73.95025,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126141,liquor,Liquor Store,Ryan Wine & Liquor Inc,"11 W 183RD ST, BRONX, NY, 10453",Bronx,10453,0100-23-126141,Active,40.85854,-73.90442,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-123995,liquor,Liquor Store,Ezws Llc,"2746 BROADWAY, NEW YORK, NY, 10025",Manhattan,10025,0100-23-123995,Active,40.80068,-73.96785,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0091-20-100342,liquor,Wine Store,Kratz Wines Llc,"23 JONES ST, NEW  YORK, NY, 10014",Manhattan,10014,0091-20-100342,Active,40.73196,-74.00268,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-125354,liquor,Liquor Store,Ga Fwa Liquors Inc,"2345 NEWKIRK AVENUE, BROOKLYN, NY, 11226",Brooklyn,11226,0100-23-125354,Active,40.63962,-73.95439,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116512,liquor,Liquor Store,Big Wong Liquor & Wine Inc,"83 10 ASTORIA BLVD, EAST ELMHURST, NY, 11370",Queens,11370,0100-22-116512,Active,40.76675,-73.89256,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-24-122894,liquor,Liquor Store,"Gallery Wine & Liquor Inc, The","4238 Broadway, New York, NY, 10033",Manhattan,10033,0100-24-122894,Active,40.8495,-73.93644,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126663,liquor,Liquor Store,Columbus Circle Liquors Store Inc,"1802 BROADWAY, NEW YORK, NY, 10019",Manhattan,10019,0100-23-126663,Active,40.7674,-73.98169,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126417,liquor,Liquor Store,Park Slope Wine And Liquor Inc,"539 541 5TH AVE, BROOKLYN, NY, 11215",Brooklyn,11215,0100-23-126417,Active,40.66598,-73.98896,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124964,liquor,Liquor Store,403 East 57 St Llc,"403 E 57TH ST, NEW YORK, NY, 10022",Manhattan,10022,0100-23-124964,Active,40.75823,-73.96266,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126438,liquor,Liquor Store,Raj'S Wine & Liquor Inc,"236-01 BRADDOCK AVE, BELLEROSE, NY, 11426",Queens,11426,0100-23-126438,Active,40.72744,-73.73143,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124813,liquor,Liquor Store,Min'S Lucky Star Liquors Inc,"249 E 115TH ST, NEW YORK, NY, 10029",Manhattan,10029,0100-23-124813,Active,40.79637,-73.93845,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124180,liquor,Liquor Store,K & E Liquors Inc,"349 UTICA AVE, BROOKLYN, NY, 11213",Brooklyn,11213,0100-23-124180,Active,40.66598,-73.93139,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114633,liquor,Liquor Store,H P Wines & Spirits Corp,"47 07 VERNON BLVD, LONG ISLAND CITY, NY, 11101",Queens,11101,0100-21-114633,Active,40.7503,-73.95185,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124968,liquor,Liquor Store,Baas Rookhum Corp The,"126 01 MERRICK BLVD, JAMAICA, NY, 11434",Queens,11434,0100-23-124968,Active,40.68195,-73.76613,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-20-104275,liquor,Liquor Store,Martys Liquors Inc,"133 AVENUE D, NEW YORK, NY, 10009",Manhattan,10009,0100-20-104275,Active,40.72446,-73.97547,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-25-116658,liquor,Liquor Store,New Ricky Liquor Store Inc,"78-18 Woodside Ave, Elmhurst, NY, 11373",Queens,11373,0100-25-116658,Active,40.74376,-73.88638,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-117813,liquor,Liquor Store,Galaxy Liquor & Wine Inc,"119 W KINGSBRIDGE RD, BRONX, NY, 10468",Bronx,10468,0100-22-117813,Active,40.86853,-73.90194,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-125330,liquor,Liquor Store,Z & C Brothers Inc,"2745 PITKIN AVENUE, BROOKLYN, NY, 11208",Brooklyn,11208,0100-23-125330,Active,40.67557,-73.87071,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115940,liquor,Liquor Store,Hello Liquor Store Inc,"184 MALCOLM X BLVD, BROOKLYN, NY, 11221",Brooklyn,11221,0100-22-115940,Active,40.68698,-73.92986,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-113585,liquor,Liquor Store,Gng Wine & Liquors Inc,"8233 153RD AVE, HOWARD BEACH, NY, 11414",Queens,11414,0100-21-113585,Active,40.66661,-73.85124,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116987,liquor,Liquor Store,Skm Holdings Llc,"185 GREENWICH ST, NEW YORK, NY, 10007",Manhattan,10007,0100-22-116987,Active,40.71091,-74.01087,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-115735,liquor,Liquor Store,884 Winery Corp,"884 BEDFORD AVENUE, BROOKLYN, NY, 11205",Brooklyn,11205,0100-21-115735,Active,40.69438,-73.95609,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-123915,liquor,Liquor Store,Lefferts Wine Group Llc,"188 PARKSIDE AVE, BROOKLYN, NY, 11226",Brooklyn,11226,0100-23-123915,Active,40.65513,-73.96126,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-113910,liquor,Liquor Store,Karma Liquors Inc,"1004 MORRIS PARK AVE, BRONX, NY, 10462",Bronx,10462,0100-21-113910,Active,40.8482,-73.85604,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-24-136858,liquor,Liquor Store,Northern Empire Liquor & Wine Inc,"144-12 NORTHERN BLVD, FLUSHING, NY, 11354",Queens,11354,0100-24-136858,Active,40.76458,-73.82275,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114165,liquor,Liquor Store,154 Avenue U Liquors Inc,"154 AVENUE U, BROOKLYN, NY, 11223",Brooklyn,11223,0100-21-114165,Active,40.59639,-73.97872,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-115910,liquor,Liquor Store,1675 Mcdonald Liquors Inc,"1675 MCDONALD AVE, BROOKLYN, NY, 11230",Brooklyn,11230,0100-21-115910,Active,40.61215,-73.97366,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-25-105640,liquor,Liquor Store,Decatur Wine Llc,"420 Decatur St, Brooklyn, NY, 11233",Brooklyn,11233,0100-25-105640,Active,40.68228,-73.92618,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116354,liquor,Liquor Store,Ocean W Wine & Liquor Inc,"2729 OCEAN AVE, BROOKLYN, NY, 11229",Brooklyn,11229,0100-22-116354,Active,40.5946,-73.95051,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-26-136892,liquor,Liquor Store,Simple Syrup Liquors One Inc.,"810 Nostrand Ave, Brooklyn, NY, 11216",Brooklyn,11216,0100-26-136892,Active,40.67103,-73.95038,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114997,liquor,Liquor Store,Woodside Wine & Liquor Inc,"68-16B WOODSIDE AVE, WOODSIDE, NY, 11377",Queens,11377,0100-21-114997,Active,40.74271,-73.89578,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126873,liquor,Liquor Store,Always Time To Wine & Spirits Llc,"2795 RICHMOND AVE, STATEN ISLAND, NY, 10314",Staten Island,10314,0100-23-126873,Active,40.57721,-74.16908,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115851,liquor,Liquor Store,983 Manhattan Ave Llc,"983 MANHATTAN AVE, BROOKLYN, NY, 11222",Brooklyn,11222,0100-22-115851,Active,40.73271,-73.95467,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126081,liquor,Liquor Store,Rpm Wine & Liquor Llc,"55-13 69TH ST, MASPETH, NY, 11378",Queens,11378,0100-23-126081,Active,40.72735,-73.89545,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116380,liquor,Liquor Store,Choo Choo Liquor & Wine Inc,"4024 GLENWOOD RD, BROOKLYN, NY, 11210",Brooklyn,11210,0100-22-116380,Active,40.63462,-73.93744,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0091-22-102704,liquor,Wine Store,Harlem Wine Salon Llc,"2067 ADAM CLAYTON POWELL JR BL, NEW YORK, NY, 10027",Manhattan,10027,0091-22-102704,Active,40.80792,-73.94898,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116235,liquor,Liquor Store,Mys Wines Inc,"664A KNICKERBOCKER AVE, BROOKLYN, NY, 11221",Brooklyn,11221,0100-22-116235,Active,40.69497,-73.91158,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-117570,liquor,Liquor Store,Kovy Wine & Spirits Corp,"579 HUDSON STREET, NEW YORK, NY, 10014",Manhattan,10014,0100-22-117570,Active,40.73625,-74.00589,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114461,liquor,Liquor Store,Suebob Liquor Inc,"312 W 23RD STREET, NEW YORK, NY, 10011",Manhattan,10011,0100-21-114461,Active,40.74557,-73.99916,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115915,liquor,Liquor Store,Dio Usa Inc,"603 605 LENOX AVE, NEW YORK, NY, 10037",Manhattan,10037,0100-22-115915,Active,40.81749,-73.93847,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-25-102291,liquor,Liquor Store,Fulton Liquor Inc,"1563A Fulton St, Brooklyn, NY, 11216",Brooklyn,11216,0100-25-102291,Active,40.67978,-73.93874,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126731,liquor,Liquor Store,De Wine Spot Incorporated,"428 LORIMER ST, BROOKLYN, NY, 11206",Brooklyn,11206,0100-23-126731,Active,40.70962,-73.94865,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116890,liquor,Liquor Store,J V Wines Inc,"145 7TH AVE S, NEW YORK, NY, 10014",Manhattan,10014,0100-22-116890,Active,40.73505,-74.00198,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-117246,liquor,Liquor Store,Third Level Inc.,"2186 JEROME AVE, BRONX, NY, 10453",Bronx,10453,0100-22-117246,Active,40.85669,-73.90494,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116377,liquor,Liquor Store,Vintage Harlem Nyc Inc,"2235 FREDERICK DOUGLASS BLVD, NEW YORK, NY, 10027",Manhattan,10027,0100-22-116377,Active,40.80731,-73.95326,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114756,liquor,Liquor Store,Moon Liquor Corp,"344 E GUN HILL RD, BRONX, NY, 10467",Bronx,10467,0100-21-114756,Active,40.87879,-73.87301,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-24-132737,liquor,Liquor Store,67-19 Fresh Pond Llc,"67-19 Fresh Pond Rd, Ridgewood, NY, 11385",Queens,11385,0100-24-132737,Active,40.70543,-73.89642,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-159727,liquor,Liquor Store,Winegeist Llc,"345 ATLANTIC AVE, BROOKLYN, NY, 11201",Brooklyn,11201,0100-23-159727,Active,40.68778,-73.98703,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-26-135760,liquor,Liquor Store,Carroll Gardens Wines & Liquors Llc,"427 Court St, Brooklyn, NY, 11231",Brooklyn,11231,0100-26-135760,Active,40.67851,-73.99775,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116158,liquor,Liquor Store,34 Avenue Liquors Inc,"40 15 34TH AVENUE, LONG ISLAND CITY, NY, 11101",Queens,11101,0100-22-116158,Active,40.7564,-73.92028,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-24-111717,liquor,Liquor Store,Lcmv Llc,"169 Bridge Park Drive, BROOKLYN, NY, 11201",Brooklyn,11201,0100-24-111717,Active,40.69386,-74.00087,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114661,liquor,Liquor Store,111 Lex Liquors Inc,"111 LEXINGTON AVENUE, NEW YORK, NY, 10016",Manhattan,10016,0100-21-114661,Active,40.74244,-73.98261,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-127001,liquor,Liquor Store,Tops Liquor Supermarket Inc,"2812 AVE U, BROOKLYN, NY, 11229",Brooklyn,11229,0100-23-127001,Active,40.60028,-73.94328,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-117489,liquor,Liquor Store,Whiskey & Wine Of 69 Inc,"1321 2ND AVE, NEW YORK, NY, 10021",Manhattan,10021,0100-22-117489,Active,40.76719,-73.95953,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116617,liquor,Liquor Store,A & P Wine & Liquors Inc,"218 86 HEMPSTEAD AVE, QUEENS VILLAGE, NY, 11429",Queens,11429,0100-22-116617,Active,40.71396,-73.738,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-118295,liquor,Liquor Store,J & R Liquor Corp,"77 24 21ST AVE, JACKSON HGTS, NY, 11370",Queens,11370,0100-22-118295,Active,40.77053,-73.89267,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114494,liquor,Liquor Store,Xing Da Liquor Corp,"1298 Nostrand Ave, Brooklyn, NY, 11226",Brooklyn,11226,0100-21-114494,Active,40.65525,-73.95006,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-113792,liquor,Liquor Store,Vinfamily Inc,"393 GRAND ST, NEW YORK, NY, 10002",Manhattan,10002,0100-21-113792,Active,40.71618,-73.98746,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114113,liquor,Liquor Store,Koko Wines Inc,"55 FLATBUSH AVE, BROOKLYN, NY, 11217",Brooklyn,11217,0100-21-114113,Active,40.68718,-73.97972,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-113592,liquor,Liquor Store,Seaport Wine & Spirits Inc,"110 FULTON ST, NEW YORK, NY, 10038",Manhattan,10038,0100-21-113592,Active,40.70984,-74.00698,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
